ID	Naziv	Kategorija	Cena	Stanje	Slika	Alt tekst	Opis	Istaknuto	Aktivno	Materijal	Datum dodavanja	Stara cena	Slike
sat-01	Satenski scrunchie — Klasik	satenske	500	10	https://images.pexels.com/photos/6044139/pexels-photo-6044139.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Satenski scrunchie u klasičnoj boji	Mekan satenski scrunchie sa svilenkastim sjajem. Nežan prema kosi, elegantan za svaki dan.	TRUE	TRUE	Saten			
sat-02	Satenski scrunchie — Pastel	satenske	500	8	https://images.pexels.com/photos/6044135/pexels-photo-6044135.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Satenski scrunchie u pastelnoj boji	Nežne pastelne nijanse u satenskoj tkanini. Savršen za romantičan look.	FALSE	TRUE	Saten			
sat-03	Satenski scrunchie sa mašnom	satenske	500	5	https://images.pexels.com/photos/6983530/pexels-photo-6983530.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Satenski scrunchie sa dekorativnom mašnom	Elegantan model sa mašnom — idealan za izlaske i posebne prilike.	TRUE	TRUE	Saten			
sat-04	Satenski mini scrunchie	satenske	500	12	https://images.pexels.com/photos/6044135/pexels-photo-6044135.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop&crop=right	Mali satenski scrunchie	Manji model, idealan za tanje repove i polupodignute frizure.	FALSE	TRUE	Saten			
pli-01	Plišani scrunchie — Klasik	plisane	500	10	https://images.pexels.com/photos/7446420/pexels-photo-7446420.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Plišani scrunchie u toploj boji	Mekan plišani scrunchie, savršen za hladnije dane i udobno držanje kose.	TRUE	TRUE	Pliš			
pli-02	Plišani scrunchie — Zimska kolekcija	plisane	500	3	https://images.pexels.com/photos/7446425/pexels-photo-7446425.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Plišani scrunchie iz zimske kolekcije	Tople boje i meka pliš tkanina za cozy zimski look.	FALSE	TRUE	Pliš			
pli-03	Plišani scrunchie — Soft	plisane	500	0	https://images.pexels.com/photos/6983530/pexels-photo-6983530.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop&crop=bottom	Mekani plišani scrunchie	Ultra-mekan pliš za maksimalnu udobnost. Bez tragova na kosi.	FALSE	TRUE	Pliš			
pam-01	Pamučni scrunchie — Everyday	pamucne	500	10	https://images.pexels.com/photos/6044144/pexels-photo-6044144.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop	Pamučni scrunchie za svaki dan	Od 100% pamuka — idealan za svakodnevnu upotrebu i sportske aktivnosti.	TRUE	TRUE	Pamuk			
pam-02	Pamučni scrunchie — Šareni	pamucne	500	7	https://images.pexels.com/photos/6044135/pexels-photo-6044135.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop&crop=left	Šareni pamučni scrunchie	Vesele boje i pamučna tkanina za razigran svakodnevni stil.	FALSE	TRUE	Pamuk			
pam-03	Pamučni scrunchie — Prugice	pamucne	500	2	https://images.pexels.com/photos/6044144/pexels-photo-6044144.jpeg?auto=compress&cs=tinysrgb&w=400&h=400&fit=crop&crop=top	Pamučni scrunchie sa prugastim dizajnom	Klasične prugice u mekom pamuku. Uvek u trendu, uvek udoban.	FALSE	TRUE	Pamuk			
